A1,B1o,B1s,B3,D1,core,hof
427,1273,9,201,135,0.8669,0.6604
428,1275,9,201,135,0.866825,0.6627
449,1358,9,207,122,0.866625,0.6575333333333333
437,1259,9,201,133,0.86655,0.6600666666666667
442,1288,9,194,131,0.8664,0.6573666666666667
434,1298,9,199,127,0.86635,0.6605
436,1277,9,193,132,0.866225,0.6644333333333333
447,1233,9,204,130,0.866175,0.6613666666666667
437,1256,9,200,133,0.8661,0.6598
431,1276,9,193,128,0.865925,0.6589333333333334
443,1233,9,204,128,0.86585,0.6561
427,1275,9,200,134,0.8658,0.6610666666666667
443,1287,9,193,133,0.8657,0.6584333333333333
415,1253,9,192,129,0.8657,0.6586
445,1253,9,193,133,0.865675,0.6570333333333334
