pass,axis,tag,A1,B1o,B1s,B3,D1,compiled,intr,core,hof,wall_s,detail
,,base,425,1200,9,192,145,True,999,0.86175,0.6573333333333333,0.6,gerty6:861-0 wall-e_vii:853-0 hal9025:834-0 kerberos:626-0 hydra:893-0 meeseeks2:1000-0 rabbitc:843-0 supremo:984-0 loneliness:429-0 hulk_20:379-0 dav46:1000-0 leopon:611-0 coppi15md1:641-0 hal9020:884-0
1,A1,A1:350,350,1200,9,192,145,True,999,0.83925,0.6386666666666667,0.6,gerty6:852-0 wall-e_vii:792-0 hal9025:831-0 kerberos:550-0 hydra:882-0 meeseeks2:1000-0 rabbitc:809-0 supremo:998-0 loneliness:361-0 hulk_20:372-0 dav46:1000-0 leopon:605-0 coppi15md1:623-0 hal9020:871-0
1,A1,A1:400,400,1200,9,192,145,True,999,0.858375,0.654,0.7,gerty6:873-0 wall-e_vii:821-0 hal9025:854-0 kerberos:609-0 hydra:910-0 meeseeks2:1000-0 rabbitc:811-0 supremo:989-0 loneliness:396-0 hulk_20:399-0 dav46:1000-0 leopon:604-0 coppi15md1:643-0 hal9020:882-0
1,A1,A1:450,450,1200,9,192,145,True,999,0.857875,0.6645,0.6,gerty6:878-0 wall-e_vii:844-0 hal9025:819-0 kerberos:627-0 hydra:894-0 meeseeks2:1000-0 rabbitc:840-0 supremo:961-0 loneliness:432-0 hulk_20:372-0 dav46:1000-0 leopon:643-0 coppi15md1:644-0 hal9020:896-0
1,A1,A1:500,500,1200,9,192,145,True,999,0.85675,0.6591666666666667,0.7,gerty6:858-0 wall-e_vii:853-0 hal9025:829-0 kerberos:644-0 hydra:888-0 meeseeks2:1000-0 rabbitc:836-0 supremo:946-0 loneliness:434-0 hulk_20:341-0 dav46:1000-0 leopon:664-0 coppi15md1:648-0 hal9020:868-0
1,B1o,B1o:960>>9,425,960,9,192,145,True,999,0.846625,0.6555,0.6,gerty6:871-0 wall-e_vii:814-0 hal9025:830-0 kerberos:581-0 hydra:885-0 meeseeks2:1000-0 rabbitc:817-0 supremo:975-0 loneliness:415-0 hulk_20:344-0 dav46:999-0 leopon:623-0 coppi15md1:656-0 hal9020:896-0
1,B1o,B1o:1080>>9,425,1080,9,192,145,True,999,0.844125,0.648,0.6,gerty6:841-0 wall-e_vii:823-0 hal9025:844-0 kerberos:561-0 hydra:887-0 meeseeks2:1000-0 rabbitc:823-0 supremo:974-0 loneliness:390-0 hulk_20:371-0 dav46:1000-0 leopon:610-0 coppi15md1:620-0 hal9020:897-0
1,B1o,B1o:1320>>9,425,1320,9,192,145,True,999,0.849125,0.6505,0.7,gerty6:855-0 wall-e_vii:823-0 hal9025:842-0 kerberos:579-0 hydra:886-0 meeseeks2:1000-0 rabbitc:830-0 supremo:978-0 loneliness:396-0 hulk_20:384-0 dav46:1000-0 leopon:608-0 coppi15md1:623-0 hal9020:892-0
1,B1o,B1o:1440>>9,425,1440,9,192,145,True,999,0.859,0.6563333333333333,0.7,gerty6:870-0 wall-e_vii:835-0 hal9025:821-0 kerberos:615-0 hydra:901-0 meeseeks2:1000-0 rabbitc:844-0 supremo:986-0 loneliness:419-0 hulk_20:376-0 dav46:1000-0 leopon:597-0 coppi15md1:654-0 hal9020:892-0
1,B1s,B1s:1200>>8,425,1200,8,192,145,True,999,0.748625,0.606,0.8,gerty6:825-0 wall-e_vii:755-0 hal9025:748-0 kerberos:410-0 hydra:797-0 meeseeks2:1000-0 rabbitc:778-0 supremo:676-0 loneliness:341-0 hulk_20:315-0 dav46:999-0 leopon:520-0 coppi15md1:613-0 hal9020:848-0
1,B1s,B1s:1200>>10,425,1200,10,192,145,True,999,0.75025,0.6193333333333333,0.7,gerty6:827-0 wall-e_vii:778-0 hal9025:762-0 kerberos:418-0 hydra:789-0 meeseeks2:1000-0 rabbitc:791-0 supremo:637-0 loneliness:384-0 hulk_20:328-0 dav46:1000-0 leopon:530-0 coppi15md1:619-0 hal9020:855-0
1,B3,B3:160,425,1200,9,160,145,True,999,0.845875,0.6468333333333334,0.6,gerty6:860-0 wall-e_vii:839-0 hal9025:799-0 kerberos:575-0 hydra:894-0 meeseeks2:1000-0 rabbitc:824-0 supremo:976-0 loneliness:423-0 hulk_20:366-0 dav46:1000-0 leopon:572-0 coppi15md1:650-0 hal9020:870-0
1,B3,B3:176,425,1200,9,176,145,True,999,0.846625,0.6528333333333334,0.6,gerty6:856-0 wall-e_vii:813-0 hal9025:837-0 kerberos:571-0 hydra:899-0 meeseeks2:1000-0 rabbitc:815-0 supremo:982-0 loneliness:415-0 hulk_20:365-0 dav46:1000-0 leopon:612-0 coppi15md1:643-0 hal9020:882-0
1,B3,B3:208,425,1200,9,208,145,True,999,0.855625,0.6586666666666666,0.6,gerty6:859-0 wall-e_vii:825-0 hal9025:842-0 kerberos:581-0 hydra:901-0 meeseeks2:1000-0 rabbitc:850-0 supremo:987-0 loneliness:435-0 hulk_20:374-0 dav46:1000-0 leopon:619-0 coppi15md1:644-0 hal9020:880-0
1,B3,B3:224,425,1200,9,224,145,True,999,0.85725,0.6606666666666666,0.6,gerty6:859-0 wall-e_vii:846-0 hal9025:856-0 kerberos:585-0 hydra:884-0 meeseeks2:1000-0 rabbitc:842-0 supremo:986-0 loneliness:430-0 hulk_20:407-0 dav46:998-0 leopon:601-0 coppi15md1:647-0 hal9020:881-0
1,D1,D1:116,425,1200,9,192,116,True,999,0.858875,0.657,0.6,gerty6:862-0 wall-e_vii:861-0 hal9025:859-0 kerberos:592-0 hydra:883-0 meeseeks2:1000-0 rabbitc:825-0 supremo:989-0 loneliness:405-0 hulk_20:374-0 dav46:999-0 leopon:629-0 coppi15md1:639-0 hal9020:896-0
1,D1,D1:130,425,1200,9,192,130,True,999,0.866625,0.6608333333333334,0.6,gerty6:883-0 wall-e_vii:848-0 hal9025:862-0 kerberos:623-0 hydra:891-0 meeseeks2:1000-0 rabbitc:838-0 supremo:988-0 loneliness:404-0 hulk_20:380-0 dav46:999-0 leopon:636-0 coppi15md1:647-0 hal9020:899-0
1,D1,D1:160,425,1200,9,192,160,True,999,0.8575,0.6591666666666667,0.6,gerty6:875-0 wall-e_vii:826-0 hal9025:844-0 kerberos:604-0 hydra:903-0 meeseeks2:1000-0 rabbitc:828-0 supremo:980-0 loneliness:441-0 hulk_20:398-0 dav46:999-0 leopon:604-0 coppi15md1:635-0 hal9020:878-0
1,D1,D1:174,425,1200,9,192,174,True,999,0.85225,0.6566666666666666,0.7,gerty6:864-0 wall-e_vii:819-0 hal9025:831-0 kerberos:590-0 hydra:896-0 meeseeks2:1000-0 rabbitc:840-0 supremo:978-0 loneliness:443-0 hulk_20:390-0 dav46:999-0 leopon:611-0 coppi15md1:625-0 hal9020:872-0
2,A1,A1:350,350,1200,9,192,130,True,999,0.850125,0.6335,0.6,gerty6:864-0 wall-e_vii:813-0 hal9025:842-0 kerberos:565-0 hydra:918-0 meeseeks2:1000-0 rabbitc:802-0 supremo:997-0 loneliness:384-0 hulk_20:360-0 dav46:1000-0 leopon:578-0 coppi15md1:604-0 hal9020:875-0
2,A1,A1:400,400,1200,9,192,130,True,999,0.859375,0.653,0.6,gerty6:878-0 wall-e_vii:840-0 hal9025:854-0 kerberos:569-0 hydra:896-0 meeseeks2:1000-0 rabbitc:848-0 supremo:990-0 loneliness:401-0 hulk_20:388-0 dav46:1000-0 leopon:606-0 coppi15md1:647-0 hal9020:876-0
2,A1,A1:450,450,1200,9,192,130,True,999,0.855125,0.6593333333333333,0.6,gerty6:871-0 wall-e_vii:836-0 hal9025:825-0 kerberos:604-0 hydra:885-0 meeseeks2:1000-0 rabbitc:847-0 supremo:973-0 loneliness:392-0 hulk_20:378-0 dav46:1000-0 leopon:620-0 coppi15md1:676-0 hal9020:890-0
2,A1,A1:500,500,1200,9,192,130,True,999,0.863375,0.6705,0.6,gerty6:884-0 wall-e_vii:878-0 hal9025:835-0 kerberos:632-0 hydra:884-0 meeseeks2:1000-0 rabbitc:845-0 supremo:949-0 loneliness:446-0 hulk_20:344-0 dav46:1000-0 leopon:649-0 coppi15md1:694-0 hal9020:890-0
2,B1o,B1o:960>>9,425,960,9,192,130,True,999,0.849625,0.648,0.6,gerty6:872-0 wall-e_vii:833-0 hal9025:829-0 kerberos:561-0 hydra:894-0 meeseeks2:1000-0 rabbitc:841-0 supremo:967-0 loneliness:391-0 hulk_20:355-0 dav46:999-0 leopon:607-0 coppi15md1:649-0 hal9020:887-0
2,B1o,B1o:1080>>9,425,1080,9,192,130,True,999,0.853125,0.6581666666666667,0.6,gerty6:863-0 wall-e_vii:816-0 hal9025:837-0 kerberos:585-0 hydra:904-0 meeseeks2:1000-0 rabbitc:852-0 supremo:968-0 loneliness:411-0 hulk_20:383-0 dav46:1000-0 leopon:615-0 coppi15md1:657-0 hal9020:883-0
2,B1o,B1o:1320>>9,425,1320,9,192,130,True,999,0.85425,0.6631666666666667,0.6,gerty6:861-0 wall-e_vii:809-0 hal9025:829-0 kerberos:608-0 hydra:910-0 meeseeks2:1000-0 rabbitc:836-0 supremo:981-0 loneliness:447-0 hulk_20:409-0 dav46:1000-0 leopon:592-0 coppi15md1:646-0 hal9020:885-0
2,B1o,B1o:1440>>9,425,1440,9,192,130,True,999,0.862,0.6623333333333333,0.6,gerty6:870-0 wall-e_vii:841-0 hal9025:843-0 kerberos:608-0 hydra:898-0 meeseeks2:1000-0 rabbitc:851-0 supremo:985-0 loneliness:447-0 hulk_20:408-0 dav46:1000-0 leopon:592-0 coppi15md1:643-0 hal9020:884-0
2,B1s,B1s:1200>>8,425,1200,8,192,130,True,999,0.758875,0.6041666666666666,0.7,gerty6:847-0 wall-e_vii:774-0 hal9025:768-0 kerberos:380-0 hydra:803-0 meeseeks2:1000-0 rabbitc:791-0 supremo:708-0 loneliness:357-0 hulk_20:336-0 dav46:999-0 leopon:499-0 coppi15md1:593-0 hal9020:841-0
2,B1s,B1s:1200>>10,425,1200,10,192,130,True,999,0.763625,0.6221666666666666,0.6,gerty6:861-0 wall-e_vii:795-0 hal9025:794-0 kerberos:398-0 hydra:796-0 meeseeks2:1000-0 rabbitc:816-0 supremo:649-0 loneliness:383-0 hulk_20:342-0 dav46:999-0 leopon:539-0 coppi15md1:607-0 hal9020:863-0
2,B3,B3:160,425,1200,9,160,130,True,999,0.849125,0.647,0.6,gerty6:854-0 wall-e_vii:834-0 hal9025:822-0 kerberos:570-0 hydra:898-0 meeseeks2:1000-0 rabbitc:831-0 supremo:984-0 loneliness:382-0 hulk_20:372-0 dav46:999-0 leopon:587-0 coppi15md1:651-0 hal9020:891-0
2,B3,B3:176,425,1200,9,176,130,True,999,0.86225,0.6553333333333333,0.6,gerty6:875-0 wall-e_vii:855-0 hal9025:837-0 kerberos:617-0 hydra:884-0 meeseeks2:1000-0 rabbitc:838-0 supremo:992-0 loneliness:400-0 hulk_20:367-0 dav46:999-0 leopon:603-0 coppi15md1:666-0 hal9020:897-0
